"""ar""","""distance"""
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
