"""p""","""sumP"""
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":720,""class"":""economy"",""idf"":719},{""name"":""CRP""}]",1586.75
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":752,""class"":""economy"",""idf"":751},{""name"":""ORF""}]",2004.75
"[{""name"":""LAX""},{""idt"":1008,""class"":""economy"",""idf"":1007},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1004.25
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":730,""class"":""firstClass"",""idf"":727},{""name"":""CRP""}]",1325.85
"[{""name"":""LAX""},{""idt"":998,""class"":""firstClass"",""idf"":995},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1181.1
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":712,""class"":""economy"",""idf"":711},{""name"":""CRP""}]",1230
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":100,""class"":""economy"",""idf"":99},{""name"":""DFW""}]",1248
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":96,""class"":""economy"",""idf"":95},{""name"":""LGA""}]",2173.5
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":528,""class"":""economy"",""idf"":527},{""name"":""ORD""}]",1791.75
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":522,""class"":""firstClass"",""idf"":519},{""name"":""BWI""}]",2612.25
"[{""name"":""LAX""},{""idt"":997,""class"":""business"",""idf"":995},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1339
"[{""name"":""LAX""},{""idt"":921,""class"":""business"",""idf"":919},{""name"":""ABQ""}]",707
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":732,""class"":""economy"",""idf"":731},{""name"":""CRP""}]",1588.25
"[{""name"":""LAX""},{""idt"":648,""class"":""economy"",""idf"":647},{""name"":""BOS""},{""name"":""BOS""},{""idt"":630,""class"":""firstClass"",""idf"":627},{""name"":""IAD""}]",2549.4
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":717,""class"":""business"",""idf"":715},{""name"":""CRP""}]",1926.3999999999999
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":722,""class"":""firstClass"",""idf"":719},{""name"":""CRP""}]",1967.9999999999998
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":448,""class"":""economy"",""idf"":447},{""name"":""MFE""}]",1320
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":734,""class"":""firstClass"",""idf"":731},{""name"":""CRP""}]",1328.25
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":718,""class"":""firstClass"",""idf"":715},{""name"":""CRP""}]",1683.8
"[{""name"":""LAX""},{""idt"":660,""class"":""economy"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":360,""class"":""economy"",""idf"":359},{""name"":""IAD""}]",1791
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":746,""class"":""firstClass"",""idf"":743},{""name"":""CRP""}]",1325.85
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":740,""class"":""economy"",""idf"":739},{""name"":""CRP""}]",1872.1499999999999
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":236,""class"":""economy"",""idf"":235},{""name"":""MCO""}]",2379.1499999999996
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":721,""class"":""business"",""idf"":719},{""name"":""CRP""}]",1283.25
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":741,""class"":""business"",""idf"":739},{""name"":""CRP""}]",1640
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":716,""class"":""economy"",""idf"":715},{""name"":""CRP""}]",1230.75
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":700,""class"":""economy"",""idf"":699},{""name"":""SFO""}]",2996.3999999999996
"[{""name"":""LAX""},{""idt"":1002,""class"":""firstClass"",""idf"":999},{""name"":""SMF""}]",472.79999999999995
"[{""name"":""LAX""},{""idt"":1006,""class"":""firstClass"",""idf"":1003},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1609.2
"[{""name"":""LAX""},{""idt"":660,""class"":""economy"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":644,""class"":""economy"",""idf"":643},{""name"":""DEN""}]",677.25
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""}]",1427
"[{""name"":""LAX""},{""idt"":996,""class"":""economy"",""idf"":995},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1429.95
"[{""name"":""LAX""},{""idt"":984,""class"":""economy"",""idf"":983},{""name"":""TUS""}]",354
"[{""name"":""LAX""},{""idt"":1004,""class"":""economy"",""idf"":1003},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1005.75
"[{""name"":""LAX""},{""idt"":1010,""class"":""firstClass"",""idf"":1007},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1606.8
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":80,""class"":""economy"",""idf"":79},{""name"":""EWR""}]",2159.25
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":744,""class"":""economy"",""idf"":743},{""name"":""CRP""}]",1586.75
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":714,""class"":""firstClass"",""idf"":711},{""name"":""CRP""}]",1325.85
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":521,""class"":""business"",""idf"":519},{""name"":""BWI""}]",2997.3999999999996
"[{""name"":""LAX""},{""idt"":998,""class"":""firstClass"",""idf"":995},{""name"":""SMF""}]",471.59999999999997
"[{""name"":""LAX""},{""idt"":661,""class"":""business"",""idf"":659},{""name"":""LAS""}]",249
