"""actor""","""acting"""
"{""name"":""Bill Paxton"",""born"":1955}",3
"{""name"":""Rosie O'Donnell"",""born"":1962}",2
"{""name"":""Oliver Platt"",""born"":1960}",2
"{""name"":""Helen Hunt"",""born"":1963}",3
"{""name"":""Gary Sinise"",""born"":1955}",2
"{""name"":""Jack Nicholson"",""born"":1937}",5
"{""name"":""Nathan Lane"",""born"":1956}",2
"{""name"":""Gene Hackman"",""born"":1930}",3
"{""name"":""Tom Hanks"",""born"":1956}",12
"{""name"":""Kiefer Sutherland"",""born"":1966}",2
"{""name"":""Carrie-Anne Moss"",""born"":1967}",3
"{""name"":""James Cromwell"",""born"":1940}",2
"{""name"":""Danny DeVito"",""born"":1944}",2
"{""name"":""Sam Rockwell"",""born"":1968}",2
"{""name"":""Rain"",""born"":1982}",2
"{""name"":""Rick Yune"",""born"":1971}",2
"{""name"":""Max von Sydow"",""born"":1929}",2
"{""name"":""Zach Grenier"",""born"":1954}",2
"{""name"":""Jerry O'Connell"",""born"":1974}",2
"{""name"":""Hugo Weaving"",""born"":1960}",5
"{""name"":""Philip Seymour Hoffman"",""born"":1967}",2
"{""name"":""Cuba Gooding Jr."",""born"":1968}",4
"{""name"":""Tom Cruise"",""born"":1962}",3
"{""name"":""Steve Zahn"",""born"":1967}",2
"{""name"":""Meg Ryan"",""born"":1961}",5
"{""name"":""Keanu Reeves"",""born"":1964}",7
"{""name"":""Kevin Bacon"",""born"":1958}",3
"{""name"":""Ben Miles"",""born"":1967}",3
"{""name"":""Robin Williams"",""born"":1951}",3
"{""name"":""Greg Kinnear"",""born"":1963}",2
"{""name"":""Charlize Theron"",""born"":1975}",2
"{""name"":""Laurence Fishburne"",""born"":1961}",3
"{""name"":""Bonnie Hunt"",""born"":1961}",2
"{""name"":""Marshall Bell"",""born"":1942}",2
"{""name"":""J.T. Walsh"",""born"":1943}",2
